"Student_ID","Certif.bin","Section","Gender","birth.year","Country","Diploma","EMLYON.et","Formation","CSP","How.heard","Exp.crea","Curiosity.MOOC","Certif.self.sat","Rencontres","Certif.work","Incitation","Temps.Dispo","Exp.MOOC","Completion.proba","EMLyon","Country_HDI","Country_HDI.fin","age","CSP.fin","Temps.dispo.fin"
66140,1,"Laboratoire, Laboratoire Effectuation #3, MOOC Effectuation #3","un homme",1976,"France","Bac+5 (Master ou équivalent)","Non","Management/Gestion d'entreprise","Cadres et professions intellectuelles","par un ami ou une connaissance","J'ai lancé ma première société il y a plus d'un an","1","2","2","1","5","Entre deux et quatre heures","Non, c'est ma première participation Ã  un MOOC","4","Non","TH","TH",37,"Cadres et professions intellectuelles","Entre deux et quatre heures"
64332,1,"Laboratoire Effectuation #3, Laboratoire, MOOC Effectuation #3","une femme",1980,"France","Bac+3 (Licence ou équivalent)","Non","Management/Gestion d'entreprise","Cadres et professions intellectuelles","par un ami ou une connaissance","J'accompagne des créateurs d'entreprises dans le cadre de mon travail","4","5","5","1","3","Entre une et deux heures","Non, c'est ma première participation Ã  un MOOC","3","Non","TH","TH",33,"Cadres et professions intellectuelles","Moins de deux heures"
44975,1,"Laboratoire Effectuation #3, Laboratoire, MOOC Effectuation #3","un homme",1979,"Niger","Bac+5 (Master ou équivalent)","Non","Ingénierie et technologies","Employés","par une communication de Unow","J'ai un projet de création d'entreprise (phase de réflexion)","3","5","4","2","3","Entre deux et quatre heures","Oui, dont certains intégralement","4","Non","B","B",34,"Employés","Entre deux et quatre heures"
64781,1,"Laboratoire, Laboratoire Effectuation #3, MOOC Effectuation #3","un homme",1973,"France","Bac+3 (Licence ou équivalent)","Non","Management/Gestion dâ€™entreprise","Cadres et professions intellectuelles","autre","Je n'ai aucune expérience en création d'entreprise","1","1","1","4","1","Entre une et deux heures","Non, c'est ma première participation Ã  un MOOC","5","Non","TH","TH",40,"Cadres et professions intellectuelles","Moins de deux heures"
65843,1,"Laboratoire Effectuation #3, Laboratoire, MOOC Effectuation #3","un homme",1975,"France","Bac+5 (Master ou équivalent)","Non","Sciences naturelles (Agronomie\, biologie\, physique\, chimie\, etc)","Professions intermédiaires","par une communication de Unow","J'ai un projet de création d'entreprise (phase de réflexion)","3","3","4","2","2","Entre deux et quatre heures","Non, c'est ma première participation Ã  un MOOC","4","Non","TH","TH",38,"Autre","Entre deux et quatre heures"
65068,1,"MOOC Effectuation #3, Laboratoire","une femme",1973,"France","Bac+5 (Master ou équivalent)","Non","Ingénierie et technologies","Cadres et professions intellectuelles","par un ami ou une connaissance","Je n'ai aucune expérience en création d'entreprise","4","3","3","4","2","Entre deux et quatre heures","Non, c'est ma première participation Ã  un MOOC","5","Non","TH","TH",40,"Cadres et professions intellectuelles","Entre deux et quatre heures"
38886,1,"Laboratoire, MOOC Effectuation #3","une femme",1980,"Côte d'Ivoire","Bac+5 (Master ou équivalent)","Non","Communication et sciences de l'information (Journalisme\, etc)","Cadres et professions intellectuelles","par un ami ou une connaissance","Je suis en train de créer mon entreprise (phase de démarrage)","1","2","3","1","3","Entre une et deux heures","Oui, mais tous suivis partiellement","3","Non","B","B",33,"Cadres et professions intellectuelles","Moins de deux heures"
64922,1,"MOOC Effectuation #3, Laboratoire Effectuation #3, Laboratoire","un homme",1985,"Sénégal","Bac+5 (Master ou équivalent)","Non","Management/Gestion d'entreprise","Cadres et professions intellectuelles","autre","J'ai un projet de création d'entreprise (phase de réflexion)","1","1","1","1","4","Entre une et deux heures","Non, c'est ma première participation Ã  un MOOC","5","Non","B","B",28,"Cadres et professions intellectuelles","Moins de deux heures"
18760,1,"Laboratoire, MOOC Effectuation #3","un homme",1991,"France","Bac+3 (Licence ou équivalent)","Oui","Management/Gestion dâ€™entreprise","Etudiants","par une communication de l'EMLYON","Jâ€™ai un projet de création dâ€™entreprise (phase de réflexion)","5","3","4","1","2","Entre deux et quatre heures","Non, c'est ma première participation Ã  un MOOC","5","Oui","TH","TH",22,"Etudiants","Entre deux et quatre heures"
66342,1,"MOOC Effectuation #3","un homme",1985,"Cameroun","Bac+3 (Licence ou équivalent)","Non","Management/Gestion d'entreprise","En recherche d'emploi","par un ami ou une connaissance","J'ai un projet de création d'entreprise (phase de réflexion)","4","3","3","2","5","Entre quatre et six heures","Non, c'est ma première participation Ã  un MOOC","5","Non","B","B",28,"En recherche d'emploi","Entre quatre et six heures"
65938,1,"MOOC Effectuation #3","une femme",1980,"France","Bac+2 (Deug, IUT, BTS ou équivalent)","Non","Management/Gestion d'entreprise","Employés","autre","Je n'ai aucune expérience en création d'entreprise","5","4","5","1","5","Entre une et deux heures","Non, c'est ma première participation Ã  un MOOC","5","Non","TH","TH",33,"Employés","Moins de deux heures"
45121,1,"Laboratoire, MOOC Effectuation #3","une femme",1967,"France","Bac+3 (Licence ou équivalent)","Non","Management/Gestion d'entreprise","En recherche d'emploi","par une communication de Unow","J'ai un projet de création d'entreprise (phase de réflexion)","1","2","3","1","3","Entre deux et quatre heures","Oui, dont certains intégralement","5","Non","TH","TH",46,"En recherche d'emploi","Entre deux et quatre heures"
65391,1,"Laboratoire Effectuation #3, Laboratoire, MOOC Effectuation #3","une femme",1979,"France","Bac+5 (Master ou équivalent)","Non","Management/Gestion d'entreprise","Cadres et professions intellectuelles","autre","J'ai un projet de création d'entreprise (phase de réflexion)","5","2","1","1","5","Entre deux et quatre heures","Non, c'est ma première participation Ã  un MOOC","5","Non","TH","TH",34,"Cadres et professions intellectuelles","Entre deux et quatre heures"
64216,1,"MOOC Effectuation #3, Laboratoire Effectuation #3, Laboratoire","une femme",1991,"France","Bac+5 (Master ou équivalent)","Oui","Management/Gestion d'entreprise","Etudiants","par une communication de l'EMLYON","Je n'ai aucune expérience en création d'entreprise","5","5","5","5","2","Entre une et deux heures","Non, c'est ma première participation Ã  un MOOC","5","Oui","TH","TH",22,"Etudiants","Moins de deux heures"
65499,1,"Laboratoire, MOOC Effectuation #3","une femme",1987,"France","Bac+5 (Master ou équivalent)","Non","Communication et sciences de l'information (Journalisme\, etc)","Cadres et professions intellectuelles","par un article ou un blog sur Internet","J'ai un projet de création d'entreprise (phase de réflexion)","1","3","3","3","2","Entre deux et quatre heures","Non, c'est ma première participation Ã  un MOOC","3","Non","TH","TH",26,"Cadres et professions intellectuelles","Entre deux et quatre heures"
67425,1,"MOOC Effectuation #3, Laboratoire Effectuation #3","un homme",1972,"Maroc","Bac+8 (Doctorat ou équivalent)","Non","Sciences sociales (économie\, sciences politiques\, sociologie\, etc)","Cadres et professions intellectuelles","par un ami ou une connaissance","J'accompagne des créateurs d'entreprises dans le cadre de mon travail","3","5","3","1","3","Entre deux et quatre heures","Non, c'est ma première participation Ã  un MOOC","5","Non","H","H&M",41,"Cadres et professions intellectuelles","Entre deux et quatre heures"
65235,1,"MOOC Effectuation #3, Laboratoire","un homme",1997,"France","En cours d'obtention du Bac",NA,"Sciences sociales (économie\, sciences politiques\, sociologie\, etc)","Etudiants","par un article ou un blog sur Internet","J'ai un projet de création d'entreprise (phase de réflexion),Je suis en train de créer mon entreprise (phase de démarrage)","1","3","3","1","4","Entre une et deux heures","Oui, dont certains intégralement","5",NA,"TH","TH",16,"Etudiants","Moins de deux heures"
65485,1,"MOOC Effectuation #3, Laboratoire Effectuation #3, Laboratoire","un homme",1986,"Colombie","Bac+3 (Licence ou équivalent)","Non","Management/Gestion d'entreprise","Employés","par un article ou un blog sur Internet","Je n'ai aucune expérience en création d'entreprise","5","5","3","5","5","Moins d'une heure","Non, c'est ma première participation Ã  un MOOC","5","Non","M","H&M",27,"Employés","Moins de deux heures"
64552,1,"Laboratoire, MOOC Effectuation #3","un homme",1992,"France","Bac+2 (Deug, IUT, BTS ou équivalent)","Non","Management/Gestion d'entreprise","Etudiants","par un article ou un blog sur Internet","J'ai un projet de création d'entreprise (phase de réflexion)","1","3","1","1","2","Entre deux et quatre heures","Non, c'est ma première participation Ã  un MOOC","4","Non","TH","TH",21,"Etudiants","Entre deux et quatre heures"
64996,1,"MOOC Effectuation #3, Laboratoire","un homme",1968,"France","Bac+5 (Master ou équivalent)","Oui","Mathématiques\, informatique","Cadres et professions intellectuelles","par une communication de l'EMLYON","Je n'ai aucune expérience en création d'entreprise","4","3","1","1","2","Entre une et deux heures","Non, c'est ma première participation Ã  un MOOC","4","Oui","TH","TH",45,"Cadres et professions intellectuelles","Moins de deux heures"
33698,1,"Laboratoire Effectuation #3, Laboratoire, MOOC Effectuation #3","une femme",1989,"France","Bac+5 (Master ou équivalent)","Non","Ingénierie et technologies","En recherche d'emploi","autre","J'ai un projet de création d'entreprise (phase de réflexion)","1","1","1","4","4","Entre deux et quatre heures","Oui, dont certains intégralement","5","Non","TH","TH",24,"En recherche d'emploi","Entre deux et quatre heures"
47361,1,"Laboratoire, MOOC Effectuation #3","un homme",1990,"Maroc","Bac+5 (Master ou équivalent)","Non","Ingénierie et technologies","En recherche d'emploi","par un article ou un blog sur Internet","Je n'ai aucune expérience en création d'entreprise,J'ai un projet de création d'entreprise (phase de réflexion)","4","5","5","2","3","Plus de six heures","Oui, dont certains intégralement","5","Non","H","H&M",23,"En recherche d'emploi","Plus de six heures"
67942,1,"MOOC Effectuation #3","un homme",1974,"France","Bac+5 (Master ou équivalent)","Non","Management/Gestion d'entreprise","Cadres et professions intellectuelles","par un ami ou une connaissance","J'ai déjÃ  créé plusieurs entreprises","4","4","2","2","4","Entre une et deux heures","Non, c'est ma première participation Ã  un MOOC","5","Non","TH","TH",39,"Cadres et professions intellectuelles","Moins de deux heures"
64985,1,"Laboratoire, MOOC Effectuation #3, Laboratoire Effectuation #3","un homme",1969,"Canada francophone (Québec)","Bac+8 (Doctorat ou équivalent)","Non","Sciences naturelles (Agronomie\, biologie\, physique\, chimie\, etc)","Cadres et professions intellectuelles","par un article ou un blog sur Internet","Jâ€™ai un projet de création dâ€™entreprise (phase de réflexion),J'accompagne des créateurs d'entreprises dans le cadre de mon travail","1","1","1","1","3","Entre deux et quatre heures","Oui, dont certains intégralement","5","Non","TH","TH",44,"Cadres et professions intellectuelles","Entre deux et quatre heures"
66457,1,"Laboratoire, MOOC Effectuation #3","une femme",1990,"France","Bac+5 (Master ou équivalent)","Non","Ingénierie et technologies","Cadres et professions intellectuelles","par une communication de l'EMLYON","Je n'ai aucune expérience en création d'entreprise","1","3","1","1","5","Entre deux et quatre heures","Oui, mais tous suivis partiellement","4","Non","TH","TH",23,"Cadres et professions intellectuelles","Entre deux et quatre heures"
64632,1,"Laboratoire, MOOC Effectuation #3, Laboratoire Effectuation #3","une femme",1991,"Haïti","Bac+5 (Master ou équivalent)","Non","Ingénierie et technologies","Employés","autre","Jâ€™ai un projet de création dâ€™entreprise (phase de réflexion)","1","1","1","1","1","Entre deux et quatre heures","Non, c'est ma première participation Ã  un MOOC","5","Non","B","B",22,"Employés","Entre deux et quatre heures"
64526,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18658,1,"Laboratoire, MOOC Effectuation #3","un homme",1992,"France","Bac+2 (prépas)","Non","Management/Gestion d'entreprise","Etudiants","par une communication de l'EMLYON","J'accompagne des créateurs d'entreprises dans le cadre de mon travail","4","1","2","3","4","Entre une et deux heures","Non, c'est ma première participation Ã  un MOOC","2","Non","TH","TH",21,"Etudiants","Moins de deux heures"
65606,1,"Laboratoire Effectuation #3, MOOC Effectuation #3, Laboratoire","une femme",1983,"Tunisie","Bac+5 (Master ou équivalent)","Non","Management/Gestion d'entreprise","Cadres et professions intellectuelles","par un ami ou une connaissance","J'ai lancé ma première société il y a plus d'un an","5","5","2","1","3","Entre une et deux heures","Non, c'est ma première participation Ã  un MOOC","3","Non","M","H&M",30,"Cadres et professions intellectuelles","Moins de deux heures"
64542,1,"Laboratoire, MOOC Effectuation #3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34848,1,"Laboratoire Effectuation #3, Laboratoire, MOOC Effectuation #3","un homme",1990,"Algérie","Bac+5 (Master ou équivalent)","Non","Ingénierie et technologies","Employés","par un ami ou une connaissance","Jâ€™ai un projet de création dâ€™entreprise (phase de réflexion),J'accompagne des créateurs d'entreprises dans le cadre de mon travail","5","5","5","1","4","Entre deux et quatre heures","Oui, dont certains intégralement","5","Non","M","H&M",23,"Employés","Entre deux et quatre heures"
59219,1,"MOOC Effectuation #3, Laboratoire","une femme",1973,"Tunisie","Bac+5 (Master ou équivalent)","Non","Sciences sociales (économie\, sciences politiques\, sociologie\, etc)","Cadres et professions intellectuelles","sur un réseau social","Je n'ai aucune expérience en création d'entreprise","4","2","1","1","5","Entre une et deux heures","Non, c'est ma première participation Ã  un MOOC","5","Non","M","H&M",40,"Cadres et professions intellectuelles","Moins de deux heures"
64257,1,"MOOC Effectuation #3, Laboratoire","un homme",1983,"France","Bac+5 (Master ou équivalent)","Non","Ingénierie et technologies","Cadres et professions intellectuelles","par un article ou un blog sur Internet","Je n'ai aucune expérience en création d'entreprise","5","1","3","1","3","Entre une et deux heures","Non, c'est ma première participation Ã  un MOOC","4","Non","TH","TH",30,"Cadres et professions intellectuelles","Moins de deux heures"
41895,1,"Laboratoire Effectuation #3, Laboratoire, MOOC Effectuation #3","un homme",1969,"France","Bac+2 (Deug, IUT, BTS ou équivalent)","Non","Mathématiques\, informatique","Cadres et professions intellectuelles","sur un réseau social","J'ai un projet de création d'entreprise (phase de réflexion)","4","3","3","5","3","Entre une et deux heures","Oui, dont certains intégralement","4","Non","TH","TH",44,"Cadres et professions intellectuelles","Moins de deux heures"
66750,1,"Laboratoire, MOOC Effectuation #3","un homme",1984,"Canada anglophone","Bac+3 (Licence ou équivalent)","Non","Management/Gestion d'entreprise","Employés","par mon milieu universitaire (Professeur, etc)","Je suis en train de créer mon entreprise (phase de démarrage)","4","5","5","3","4","Entre deux et quatre heures","Oui, mais tous suivis partiellement","5","Non","TH","TH",29,"Employés","Entre deux et quatre heures"
45036,1,"Laboratoire, Laboratoire Effectuation #3, MOOC Effectuation #3","une femme",1961,"France","Bac+3 (Licence ou équivalent)","Non","Management/Gestion d'entreprise","En recherche d'emploi","par une communication de Unow","Je n'ai aucune expérience en création d'entreprise,Je suis en train de créer mon entreprise (phase de démarrage)","1","5","3","1","3","Entre une et deux heures","Oui, mais tous suivis partiellement","4","Non","TH","TH",52,"En recherche d'emploi","Moins de deux heures"
65905,1,"Laboratoire Effectuation #3, Laboratoire, MOOC Effectuation #3","une femme",1969,"France","Bac+2 (Deug, IUT, BTS ou équivalent)","Non","Autre","Cadres et professions intellectuelles","par un article ou un blog sur Internet","J'ai un projet de création d'entreprise (phase de réflexion),J'ai déjÃ  créé plusieurs entreprises","3","4","4","1","4","Entre quatre et six heures","Non, c'est ma première participation Ã  un MOOC","4","Non","TH","TH",44,"Cadres et professions intellectuelles","Entre quatre et six heures"
40597,1,"Laboratoire, MOOC Effectuation #3","un homme",1977,"France","Bac+5 (Master ou équivalent)","Non","Ingénierie et technologies","Cadres et professions intellectuelles","par une communication de l'EMLYON","J'ai lancé ma première société il y a plus d'un an","1","3","1","1","1","Entre une et deux heures","Oui, dont certains intégralement","4","Non","TH","TH",36,"Cadres et professions intellectuelles","Moins de deux heures"
35714,1,"Laboratoire, MOOC Effectuation #3, Laboratoire Effectuation #3","un homme",NA,"Côte d'Ivoire","Bac+2 (Deug, IUT, BTS ou équivalent)","Non",NA,"Agriculteurs-exploitants","par une communication de Unow","Je n'ai aucune expérience en création d'entreprise","4","5","5","2","3","Entre une et deux heures","Oui, mais tous suivis partiellement","3","Non","B","B",NA,"Autre","Moins de deux heures"
65840,1,"Laboratoire Effectuation #3, Laboratoire, MOOC Effectuation #3","une femme",1984,"Haïti","Bac+3 (Licence ou équivalent)","Non","Autre","Employés","par une communication de Unow","Je n'ai aucune expérience en création d'entreprise","5","3","5","4","3","Entre deux et quatre heures","Non, c'est ma première participation Ã  un MOOC","5","Non","B","B",29,"Employés","Entre deux et quatre heures"
64183,1,"MOOC Effectuation #3, Laboratoire","un homme",1991,"Inde","Bac ou équivalent","Non","Management/Gestion dâ€™entreprise","Etudiants","sur un réseau social","Je n'ai aucune expérience en création d'entreprise,Jâ€™ai un projet de création dâ€™entreprise (phase de réflexion)","3","5","5","1","3","Entre deux et quatre heures","Non, c'est ma première participation Ã  un MOOC","4","Non","H","H&M",22,"Etudiants","Entre deux et quatre heures"
15918,1,"MOOC Effectuation #3, Laboratoire","un homme",1986,"France","Bac+5 (Master ou équivalent)","Non","Droit","En recherche d'emploi","par une communication de l'EMLYON","J'accompagne des créateurs d'entreprises dans le cadre de mon travail","1","5","1","1","5","Entre une et deux heures","Oui, mais tous suivis partiellement","5","Non","TH","TH",27,"En recherche d'emploi","Moins de deux heures"
16711,1,"Laboratoire Effectuation #3, MOOC Effectuation #3, Laboratoire","un homme",1965,"France","Bac+5 (Master ou équivalent)","Non","Ingénierie et technologies","Cadres et professions intellectuelles","par mon milieu professionnel (collègue)","J'ai un projet de création d'entreprise (phase de réflexion),J'accompagne des créateurs d'entreprises dans le cadre de mon travail","2","2","4","4","5","Entre deux et quatre heures","Non, c'est ma première participation Ã  un MOOC","4","Non","TH","TH",48,"Cadres et professions intellectuelles","Entre deux et quatre heures"
64527,1,"MOOC Effectuation #3, Laboratoire","un homme",1990,"France","Bac ou équivalent","Non","Management/Gestion d'entreprise","Employés","par un article ou un blog sur Internet","J'ai un projet de création d'entreprise (phase de réflexion)","5","2","1","1","3","Entre deux et quatre heures","Non, c'est ma première participation Ã  un MOOC","3","Non","TH","TH",23,"Employés","Entre deux et quatre heures"
37862,1,"Laboratoire, MOOC Effectuation #3","un homme",1979,"France","Bac+5 (Master ou équivalent)","Non","Management/Gestion d'entreprise","Cadres et professions intellectuelles","par une communication de Unow","Je n'ai aucune expérience en création d'entreprise","1","5","5","1","1","Entre deux et quatre heures","Oui, dont certains intégralement","5","Non","TH","TH",34,"Cadres et professions intellectuelles","Entre deux et quatre heures"
20911,1,"Laboratoire, MOOC Effectuation #3","un homme",1983,"France","Bac+5 (Master ou équivalent)","Non","Autre","Employés","par une communication de Unow","Je n'ai aucune expérience en création d'entreprise","1","1","1","1","1","Entre une et deux heures","Oui, dont certains intégralement","3","Non","TH","TH",30,"Employés","Moins de deux heures"
14990,1,"Laboratoire, MOOC Effectuation #3","un homme",1990,"Mexique","Bac+5 (Master ou équivalent)","Non","Management/Gestion d'entreprise","Etudiants","par une communication de l'EMLYON","J'ai un projet de création d'entreprise (phase de réflexion)","4","3","1","3","1","Entre une et deux heures","Oui, mais tous suivis partiellement","5","Non","M","H&M",23,"Etudiants","Moins de deux heures"
8877,1,"Laboratoire Effectuation #3, Laboratoire, MOOC Effectuation #3","une femme",1986,"France","Bac+5 (Master ou équivalent)","Non","Ingénierie et technologies","Cadres et professions intellectuelles","par une communication de Unow","Je n'ai aucune expérience en création d'entreprise","1","1","4","1","3","Entre deux et quatre heures","Oui, dont certains intégralement","4","Non","TH","TH",27,"Cadres et professions intellectuelles","Entre deux et quatre heures"
64962,1,"Laboratoire Effectuation #3, Laboratoire, MOOC Effectuation #3","une femme",1981,"France","Bac+5 (Master ou équivalent)","Non","Sciences sociales (économie\, sciences politiques\, sociologie\, etc)","Cadres et professions intellectuelles","par un ami ou une connaissance","Jâ€™ai un projet de création dâ€™entreprise (phase de réflexion)","2","3","1","5","5","Entre une et deux heures","Non, c'est ma première participation Ã  un MOOC","4","Non","TH","TH",32,"Cadres et professions intellectuelles","Moins de deux heures"
64441,1,"MOOC Effectuation #3, Laboratoire","un homme",1958,"France","Bac+8 (Doctorat ou équivalent)","Non","Sciences naturelles (Agronomie\, biologie\, physique\, chimie\, etc)","Artisans, commerÃ§ants, chefs d'entreprise","par un ami ou une connaissance","J'ai lancé ma première société il y a plus d'un an,J'accompagne des créateurs d'entreprises dans le cadre de mon travail","3","1","1","1","3","Entre deux et quatre heures","Oui, mais tous suivis partiellement","4","Non","TH","TH",55,"Artisans, commerÃ§ants, chefs d'entreprise","Entre deux et quatre heures"
14465,1,"MOOC Effectuation #3, Laboratoire","un homme",1989,"France","Bac+5 (Master ou équivalent)","Non","Ingénierie et technologies","Cadres et professions intellectuelles","par une communication de Unow","J'ai un projet de création d'entreprise (phase de réflexion)","1","1","3","1","5","Entre quatre et six heures","Oui, mais tous suivis partiellement","5","Non","TH","TH",24,"Cadres et professions intellectuelles","Entre quatre et six heures"
66470,1,"Laboratoire, MOOC Effectuation #3","un homme",1995,"France","Bac ou équivalent","Non","Sciences humaines (histoire\, archéologie\, philosophie\, etc)","Etudiants","par une communication de l'EMLYON","J'ai un projet de création d'entreprise (phase de réflexion)","2","4","5","1","1","Entre une et deux heures","Non, c'est ma première participation Ã  un MOOC","4","Non","TH","TH",18,"Etudiants","Moins de deux heures"
64761,1,"MOOC Effectuation #3, Laboratoire Effectuation #3, Laboratoire","un homme",1985,"Brésil","Bac+5 (Master ou équivalent)","Non","Ingénierie et technologies","Cadres et professions intellectuelles","par un article ou un blog sur Internet","Je n'ai aucune expérience en création d'entreprise","2","1","1","1","3","Entre une et deux heures","Oui, mais tous suivis partiellement","4","Non","M","H&M",28,"Cadres et professions intellectuelles","Moins de deux heures"
64408,1,"MOOC Effectuation #3, Laboratoire","un homme",1982,"France","Bac+5 (Master ou équivalent)","Non","Sciences humaines (histoire\, archéologie\, philosophie\, etc)","Cadres et professions intellectuelles","sur un réseau social","J'ai un projet de création d'entreprise (phase de réflexion)","1","2","3","1","2","Entre une et deux heures","Oui, dont certains intégralement","4","Non","TH","TH",31,"Cadres et professions intellectuelles","Moins de deux heures"
66152,1,"Laboratoire, MOOC Effectuation #3","un homme",1984,"France","Bac+5 (Master ou équivalent)","Non","Droit","Cadres et professions intellectuelles","par un article ou un blog sur Internet","Je n'ai aucune expérience en création d'entreprise","1","1","2","1","3","Entre une et deux heures","Oui, mais tous suivis partiellement","4","Non","TH","TH",29,"Cadres et professions intellectuelles","Moins de deux heures"
66684,1,"Laboratoire, MOOC Effectuation #3","un homme",1993,"France","Bac+2 (Deug, IUT, BTS ou équivalent)","Non","Droit","Etudiants","par un article ou un blog sur Internet","Je n'ai aucune expérience en création d'entreprise","3","4","2","1","2","Entre deux et quatre heures","Non, c'est ma première participation Ã  un MOOC","5","Non","TH","TH",20,"Etudiants","Entre deux et quatre heures"
18666,1,"MOOC Effectuation #3, Laboratoire","une femme",1992,"France","Bac+3 (Licence ou équivalent)","Oui","Management/Gestion d'entreprise","Etudiants","par une communication de l'EMLYON","Je n'ai aucune expérience en création d'entreprise","4","4","3","2","3","Entre deux et quatre heures","Non, c'est ma première participation Ã  un MOOC","5","Oui","TH","TH",21,"Etudiants","Entre deux et quatre heures"
