"Student_ID","Current.Score","Section","Gender","birth.year","Country","Diploma","Formation","CSP","How.heard","Exp.crea","Curiosity.MOOC","Certif.self.sat","Rencontres","Certif.work","Incitation","Mot","Temps.Dispo","Exp.MOOC","Completion.proba","EMLyon","Instit.brand","motiv.princ","diffic","encad.disp","How.contact","entour","entour.inter","Satisf","Proba.reco","Eval.diffic","Estimated.hours","Part.labo","Plat.satisf","Peer.eval.relev","Country_HDI","Country_HDI.fin","CSP.fin","Temps.dispo.fin","EMLyon.et"
28431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32375,100,"Effectuation #2","un homme","1989","France","Bac ou Èquivalent","Sciences sociales (Èconomie\, sciences politiques\, sociologie\, etc)","Etudiants","par un article ou un blog sur Internet","Je n'ai aucune expÈrience en crÈation d'entreprise,J  ai un projet de crÈation d  entreprise (phase de rÈflexion)","5","4","2","1","3","Avoir, l'occasion de m'initier √† l'entrepreneuriat, √† l'aide d'une grande Ècole de management.","Entre deux et quatre heures","Non, c'est ma premiËre participation √† un MOOC","4","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TH","TH","Etudiants","Entre deux et quatre heures","0"
27031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27095,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27192,NA,"Effectuation #2","un homme","1979","France","Bac+3 (Licence ou Èquivalent)","GÈographie\, architecture\, urbanisme et amÈnagement du territoire","EmployÈs","par une communication de l'EMLYON","Je n'ai aucune expÈrience en crÈation d'entreprise","4","4","4","1","3",NA,"Entre une et deux heures","Non, c'est ma premiËre participation √† un MOOC","3","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TH","TH","EmployÈs","Moins de deux heures","0"
28514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27498,NA,"Effectuation #2","un homme","1990","Maroc","Bac+5 (Master ou Èquivalent)","IngÈnierie et technologies","En recherche d'emploi","autre","Je n'ai aucune expÈrience en crÈation d'entreprise","5","5","2","1","3","savoir","Entre une et deux heures","Non, c'est ma premiËre participation √† un MOOC","4","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H","H&M","En recherche d'emploi","Moins de deux heures","0"
29279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10923,NA,"Effectuation #2","une femme","1964","AlgÈrie","Bac+5 (Master ou Èquivalent)","Management/Gestion d  entreprise","Cadres et professions intellectuelles","par une communication de Unow","J  ai un projet de crÈation d  entreprise (phase de rÈflexion)","2","3",NA,"1","4","Pour complÈter ma formation en Management","Entre deux et quatre heures","Oui, mais tous suivis partiellement","4","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M","H&M","Cadres et professions intellectuelles","Entre deux et quatre heures","0"
30842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29815,100,"Effectuation #2","un homme","1978","France","Bac+5 (Master ou Èquivalent)","Autre","Cadres et professions intellectuelles","par un article ou un blog sur Internet","J  ai un projet de crÈation d  entreprise (phase de rÈflexion)","1","3","4","1","3","Projet de creation d'entreprise","Entre une et deux heures","Oui, mais tous suivis partiellement","4","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TH","TH","Cadres et professions intellectuelles","Moins de deux heures","0"
33317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28059,NA,"Effectuation #2","un homme","3","Niger","Bac+3 (Licence ou Èquivalent)","Autre","En recherche d'emploi","par un ami ou une connaissance","Je n'ai aucune expÈrience en crÈation d'entreprise",NA,NA,"1","1",NA,"AVOIR UNE ATTESTATION","Moins d'une heure","Non, c'est ma premiËre participation √† un MOOC","3","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","B","En recherche d'emploi","Moins de deux heures","0"
6494,100,"Effectuation #2","un homme","1971","Niger","Bac+2 (Deug, IUT, BTS ou Èquivalent)","Management/Gestion d  entreprise","Cadres et professions intellectuelles","par un ami ou une connaissance","Je n'ai aucune expÈrience en crÈation d'entreprise","4","4","4","2","2","Enrichir mes connaissances","Entre deux et quatre heures","Oui, mais tous suivis partiellement","4","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","B","Cadres et professions intellectuelles","Entre deux et quatre heures","0"
26864,100,"Effectuation #2","un homme","1953","France","Bac+8 (Doctorat ou Èquivalent)","Sciences sociales (Èconomie\, sciences politiques\, sociologie\, etc)","Cadres et professions intellectuelles","par mon milieu universitaire (Professeur, etc)","J  ai dÈj√† crÈÈ plusieurs entreprises","5","2","1","1","2","jE ME SUIS INSCRIT POUR EN SAVOIR PLUS SUR LA CREATION D4ENTREPRISE.","Entre deux et quatre heures","Non, c'est ma premiËre participation √† un MOOC","4","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TH","TH","Cadres et professions intellectuelles","Entre deux et quatre heures","0"
2823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29891,NA,"Effectuation #2","une femme","1990","France","Bac+5 (Master ou Èquivalent)","Management/Gestion d  entreprise","Etudiants","par une communication de l'EMLYON","Je n'ai aucune expÈrience en crÈation d'entreprise","3","1","1","1","2","J'aimerais un jour pouvoir crÈer quelque chose. C'est tout simplement le thËme qui m'a attirÈe, pas nÈcessairement le format MOOC. ","Entre deux et quatre heures","Non, c'est ma premiËre participation √† un MOOC","5","Oui","3. Oui, cela a aidÈ","La volontÈ d'acquÈrir de nouvelles compÈtences","DifficultÈ ‡† trouver du temps","TrËs disponibles","je n'ai pas ÈchangÈ avec les autres participants","Oui des camarades de promotion (dans le cas des Ètudiants)","Des personnes de mon entourage ont suivi le MOOC\, mais nous n'avons pas interagi","4","4","Facile","De 2 ‡† 4 heures","Non\, j'ai compris ce qu'Ètait le Laboratoire mais je n'y ai pas participÈ","TrËs satisfaisante","3","TH","TH","Etudiants","Entre deux et quatre heures","1"
27225,86,"Effectuation #2","un homme","1964","France","Bac+5 (Master ou Èquivalent)","Management/Gestion d  entreprise","En recherche d'emploi","par un article ou un blog sur Internet","J  ai dÈj√† crÈÈ plusieurs entreprises,J'accompagne des crÈateurs d'entreprises dans le cadre de mon travail","3","1","2","5","4","progresser dans mes mÈthodes d'accompagnement","Entre quatre et six heures","Non, c'est ma premiËre participation √† un MOOC","5","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TH","TH","En recherche d'emploi","Entre quatre et six heures","0"
22482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14161,NA,"Effectuation #2","un homme","1984","Niger","Bac+3 (Licence ou Èquivalent)","MathÈmatiques\, informatique","Etudiants","par un ami ou une connaissance","J  ai un projet de crÈation d  entreprise (phase de rÈflexion)","5","5","5","3","5","Apprendre,","Entre deux et quatre heures","Oui, dont certains intÈgralement","3","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","B","Etudiants","Entre deux et quatre heures","0"
8767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13779,NA,"Effectuation #2","un homme","1986","CÙte d'Ivoire","Bac+3 (Licence ou Èquivalent)","Management/Gestion d  entreprise","Cadres et professions intellectuelles","par un article ou un blog sur Internet","Je suis en train de crÈer mon entreprise (phase de dÈmarrage)","5","5","5","1","5","Les rouages dans la crÈation d'une entreprise","Entre une et deux heures","Oui, mais tous suivis partiellement","5","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","B","Cadres et professions intellectuelles","Moins de deux heures","0"
33272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29137,NA,"Effectuation #2","une femme","1959","France","Bac+8 (Doctorat ou Èquivalent)","MathÈmatiques\, informatique","Cadres et professions intellectuelles","autre","Je n'ai aucune expÈrience en crÈation d'entreprise","5","5","5","1","3","Fonctionnement d'un MOOC / L'entrepreunariat / L'effectuation / L'intrapreunariat / Cours donnÈ par l'EM Lyon","Entre deux et quatre heures","Oui, dont certains intÈgralement",NA,"Non","2. Oui, c'est un paramËtre trËs important","Le fait de pouvoir valoriser l'attestation dans mes Ètudes ou ma carriËre","DifficultÈ ‡† trouver du temps,Manque de collaboration avec les pairs","TrËs disponibles","Èchanges sur les fils de discussion de la plateforme","Non, personne dans mon entourage ne s'est inscrit ‡† ce MOOC","Non concernÈ","5","5","Moyen","De 4 ‡† 8 heures","Non\, j'ai compris ce qu'Ètait le Laboratoire mais je n'y ai pas participÈ","Satisfaisante","3","TH","TH","Cadres et professions intellectuelles","Entre deux et quatre heures","0"
30102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28811,100,"Effectuation #2","une femme","1968","France","Bac+3 (Licence ou Èquivalent)","Communication et sciences de l'information (Journalisme\, etc)","Artisans, commerÁants, chefs d'entreprise","sur un rÈseau social","J  ai dÈj√† crÈÈ plusieurs entreprises,J'accompagne des crÈateurs d'entreprises dans le cadre de mon travail","1","2","1","1","3","CuriositÈ et formation ","Entre deux et quatre heures","Non, c'est ma premiËre participation √† un MOOC","5","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TH","TH","Artisans, commerÁants, chefs d'entreprise","Entre deux et quatre heures","0"
28812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29605,80,"Effectuation #2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5. Non, ce n'Ètait pas un critËre important","La satisfaction personnelle d'‡™tre allÈ jusqu'au bout de la formation","DifficultÈ ‡† trouver du temps","Disponibles","je n'ai pas ÈchangÈ avec les autres participants","Oui, des amis","S'encourager mutuellement ‡† poursuivre le MOOC","5","4","Moyen","De 2 ‡† 4 heures","Non\, j'ai compris ce qu'Ètait le Laboratoire mais je n'y ai pas participÈ","TrËs satisfaisante","4",NA,NA,NA,NA,NA
28033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28815,NA,"Effectuation #2","un homme","1956","France","Bac+3 (Licence ou Èquivalent)","Management/Gestion d  entreprise","Cadres et professions intellectuelles","par une communication de l'EMLYON","J  ai dÈj√† crÈÈ plusieurs entreprises","3","1","2","1","2","envie de connaitre","Entre une et deux heures","Non, c'est ma premiËre participation √† un MOOC","5","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TH","TH","Cadres et professions intellectuelles","Moins de deux heures","0"
20377,NA,"Effectuation #2","un homme","1991","France","Bac+5 (Master ou Èquivalent)","Management/Gestion d  entreprise","Etudiants","par une communication de l'EMLYON","J  ai un projet de crÈation d  entreprise (phase de rÈflexion)","2","5","1","1","2","J'ai envie d'entreprendre et de crÈer √† terme mon entreprise. Obtenir quelques tips et Èchanger avec d'autres entrepreneurs apparaissait comme qqchose de trËs intÈressant pour moi.","Entre deux et quatre heures","Non, c'est ma premiËre participation √† un MOOC","5","Oui","1. Oui, dÈcisif","La volontÈ d'acquÈrir de nouvelles compÈtences","DifficultÈ ‡† accÈder ‡† un ordinateur avec Internet,DifficultÈ ‡† trouver du temps,DifficultÈs ‡† ‡† utiliser la plateforme","TrËs disponibles","rencontres ‚Äúphysiques‚Äù (en face-‡†-face)","Oui, des amis","RegardÈ des vidÈos ensemble,Fait les questionnaires/quizz ensemble,S'encourager mutuellement ‡† poursuivre le MOOC","4","5","Difficile","De 4 ‡† 8 heures","Non\, j'ai compris ce qu'Ètait le Laboratoire mais je n'y ai pas participÈ","Satisfaisante","5","TH","TH","Etudiants","Entre deux et quatre heures","1"
28794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28796,NA,"Effectuation #2","un homme","1992","CÙte d'Ivoire","En cours d'obtention du Bac",NA,"Etudiants","par un ami ou une connaissance","Je n'ai aucune expÈrience en crÈation d'entreprise,J  ai un projet de crÈation d  entreprise (phase de rÈflexion)",NA,NA,NA,NA,NA,"Avoir ma propre entreprise de developpement de jeux videos","Plus de six heures","Non, c'est ma premiËre participation √† un MOOC","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","B","Etudiants","Plus de six heures",NA
29812,100,"Effectuation #2","un homme","1982","Burkina Faso","Bac+5 (Master ou Èquivalent)","Sciences sociales (Èconomie\, sciences politiques\, sociologie\, etc)","Cadres et professions intellectuelles","par un ami ou une connaissance","J'accompagne des crÈateurs d'entreprises dans le cadre de mon travail","4","5","5","1","3",NA,"Entre deux et quatre heures","Oui, mais tous suivis partiellement","3","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","B","Cadres et professions intellectuelles","Entre deux et quatre heures","0"
29847,NA,"Laboratoire, Effectuation #2","un homme","1977","France","Bac+5 (Master ou Èquivalent)","Management/Gestion d  entreprise","Cadres et professions intellectuelles","sur un rÈseau social","J  ai un projet de crÈation d  entreprise (phase de rÈflexion)","2","2","3","1","4","Je suis en phase de rÈflexion pour me lancer dans mon propre projet d'entreprise et j'utilise tous les outils et ÈvËnements √† ma disposition pour nourrir mes rÈflexions et trouver des contacts et des conseils.","Entre quatre et six heures","Oui, mais tous suivis partiellement","5","Oui","2. Oui, c'est un paramËtre trËs important","La qualitÈ du MOOC en gÈnÈral (supports de cours, Èchanges,...)","DifficultÈs ‡† ‡† utiliser la plateforme","TrËs disponibles","discussion et lectures du groupe Facebook,Èchanges sur les fils de discussion de la plateforme,Èchanges sur les documents de prises de notes partagÈes","Non, personne dans mon entourage ne s'est inscrit ‡† ce MOOC","Non concernÈ","4","5","Facile","De 4 ‡† 8 heures","Oui\, j'ai soumis un projet en tant que Porteur de Projet","Satisfaisante","3","TH","TH","Cadres et professions intellectuelles","Entre quatre et six heures","0"
19444,100,"Effectuation #2","une femme","8","Cameroun","Bac+3 (Licence ou Èquivalent)","Management/Gestion d  entreprise","Etudiants","par une communication de Unow","J  ai un projet de crÈation d  entreprise (phase de rÈflexion)","4","4","5","1","3","la derriere edition je n'est pas avoir le diplome et je souhaite inscrit mon projet dans le labo","Entre une et deux heures","Oui, dont certains intÈgralement","4","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","B","Etudiants","Moins de deux heures","0"
33274,NA,"Effectuation #2","une femme",NA,"Bulgarie","Bac+5 (Master ou Èquivalent)","Sciences sociales (Èconomie\, sciences politiques\, sociologie\, etc)","Cadres et professions intellectuelles","sur un rÈseau social","Je suis en train de crÈer mon entreprise (phase de dÈmarrage)","5","1",NA,NA,"3",NA,"Entre deux et quatre heures","Non, c'est ma premiËre participation √† un MOOC","5","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M","H&M","Cadres et professions intellectuelles","Entre deux et quatre heures","0"
