"Student_ID","Gender","birth.year","Country","Diploma","Formation","CSP","How.heard","Exp.crea","Curiosity.MOOC","Certif.self.sat","Rencontres","Certif.work","Incitation","Temps.Dispo","Exp.MOOC","Completion.proba","Instit.brand","motiv.princ","diffic","encad.disp","How.contact","entour","entour.inter","Satisf","Eval.diffic","Estimated.hours","Part.labo","Plat.satisf","Peer.eval.relev","encad.diffic","Country_HDI","Country_HDI.fin","CSP.fin","Temps.dispo.fin"
19329,"un homme",NA,"Cameroun","Bac+5 (Master ou équivalent)","Ingénierie et technologies","Cadres et professions intellectuelles","par un article ou un blog sur Internet","Je suis en train de créer mon entreprise (phase de démarrage)","5","4","5","1","4","Entre deux et quatre heures","Non, c'est ma première participation à un MOOC","5","1. Oui, décisif","La volonté d’acquérir de nouvelles compétences","Aucune difficulté rencontrée","Disponibles","échanges sur les fils de discussion de la plateforme,échanges sur la messagerie privée de la plateforme","Non, personne dans mon entourage ne s'est inscrit à ce MOOC","S’encourager mutuellement à poursuivre le MOOC","4","Moyen","De 2 à 4 heures","Oui\, j’ai soumis un projet en tant que Créateur,Oui\, je suis allé lire des projets et j’ai laissé des commentaires","Très satisfaisante","4",NA,"B","B","Cadres et professions intellectuelles","Entre deux et quatre heures"
823,"un homme","1983","Cameroun","Bac+5 (Master ou équivalent)","Ingénierie et technologies","Employés","par un article ou un blog sur Internet","Je n'ai aucune expérience en création d'entreprise,J’ai un projet de création d’entreprise (phase de réflexion)","1","1","1","1","3","Entre deux et quatre heures","Oui, dont certains intégralement","5","4. Non, n’était pas le critère principal","Le plaisir d’apprendre","Lenteur ou ruptures de la connexion Internet,Difficulté à trouver du temps","Disponibles","rencontres “physiques” (en face-à-face),échanges sur la messagerie privée de la plateforme","Oui, des amis","Des personnes de mon entourage ont suivi le MOOC\, mais nous n’avons pas interagi","4","Moyen","De 30 minutes à 1 heure","Non\, j’ai compris ce qu’était le Laboratoire mais je n’y ai pas participé","Très satisfaisante","4",NA,"B","B","Employés","Entre deux et quatre heures"
145,"un homme","1966","France","Bac+2 (Deug, IUT, BTS ou équivalent)","Ingénierie et technologies","Cadres et professions intellectuelles","par une communication de Unow","J’ai un projet de création d’entreprise (phase de réflexion),Je suis en train de créer mon entreprise (phase de démarrage)","1","5","5","5","5","Plus de six heures","Oui, dont certains intégralement","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TH","TH","Cadres et professions intellectuelles","Plus de six heures"
2630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5952,"un homme","1983","Côte d'Ivoire","Bac+5 (Master ou équivalent)","Gestion d'entreprise","Cadres et professions intellectuelles","par une communication de Unow","J’ai un projet de création d’entreprise (phase de réflexion)","2","2","4","1","4","Entre quatre et six heures","Oui, dont certains intégralement","5","1. Oui, décisif","La volonté d’acquérir de nouvelles compétences","Difficulté à trouver du temps","Disponibles","discussion et lectures du groupe Facebook,échanges sur les fils de discussion de la plateforme","Oui, des amis","S’encourager mutuellement à poursuivre le MOOC","5","Moyen","De 2 à 4 heures","Non\, j’ai compris ce qu’était le Laboratoire mais je n’y ai pas participé","Très satisfaisante","5",NA,"B","B","Cadres et professions intellectuelles","Entre quatre et six heures"
18426,"une femme","1976","France","Bac+8 (Doctorat ou équivalent)","Sciences naturelles (Agronomie\, biologie\, physique\, chimie\, etc)","Cadres et professions intellectuelles","autre","J’ai un projet de création d’entreprise (phase de réflexion)","2","2","3","1","2","Entre quatre et six heures","Non, c'est ma première participation à un MOOC","5","4. Non, n’était pas le critère principal","La volonté d’acquérir de nouvelles compétences","Difficulté à trouver du temps,Manque de collaboration avec les pairs","Disponibles","échanges sur les fils de discussion de la plateforme","Non, personne dans mon entourage ne s'est inscrit à ce MOOC",NA,"5","Moyen","De 2 à 4 heures","Oui\, j’ai soumis un projet en tant que Créateur,Oui\, je suis allé lire des projets et j’ai laissé des commentaires","Satisfaisante","3",NA,"TH","TH","Cadres et professions intellectuelles","Entre quatre et six heures"
16245,"un homme",NA,"Madagascar","Bac+2 (Deug, IUT, BTS ou équivalent)","Gestion d'entreprise","En recherche d'emploi","par un ami ou une connaissance","Je n'ai aucune expérience en création d'entreprise","2","5","5","1","5","Entre deux et quatre heures","Non, c'est ma première participation à un MOOC","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","B","En recherche d'emploi","Entre deux et quatre heures"
11862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12068,"une femme","1993","Chine","Bac+2 (Deug, IUT, BTS ou équivalent)","Langues et lettres","Etudiants","par une communication de l'EMLYON","Je n'ai aucune expérience en création d'entreprise","2","3","4","2","4","Entre quatre et six heures","Non, c'est ma première participation à un MOOC","3","2. Oui, c’est un paramètre très important","La satisfaction personnelle d’être allé jusqu’au bout de la formation","Manque de collaboration avec les pairs,Difficulté à comprendre le fonctionnement du cours","Très disponibles","échanges sur les fils de discussion de la plateforme","Oui des camarades de promotion (dans le cas des étudiants)","Regardé des vidéos ensemble,Fait les questionnaires/quizz ensemble","4","Moyen","De 2 à 4 heures","Oui\, j’ai soumis un projet en tant que Créateur","Satisfaisante","4",NA,"H","H&M","Etudiants","Entre quatre et six heures"
11106,"une femme","1983","France","Bac+5 (Master ou équivalent)","Sciences sociales (économie\, sciences politiques\, sociologie\, etc)","En recherche d'emploi","par un réseau social","Je n'ai aucune expérience en création d'entreprise","1","1","3","1","1","Entre deux et quatre heures","Oui, dont certains intégralement","5","3. Oui, cela a aidé","La volonté d’acquérir de nouvelles compétences","Aucune difficulté rencontrée","Disponibles","je n’ai pas échangé avec les autres participants","Non, personne dans mon entourage ne s'est inscrit à ce MOOC",NA,"5","Facile","De 1 à 2 heures","Non\, j’ai compris ce qu’était le Laboratoire mais je n’y ai pas participé","Très satisfaisante","Je n'ai pas participé à l'activité mi-MOOC",NA,"TH","TH","En recherche d'emploi","Entre deux et quatre heures"
11209,"un homme","1970","Maroc","Bac+5 (Master ou équivalent)","Gestion d'entreprise","Cadres et professions intellectuelles","par un article ou un blog sur Internet","Je n'ai aucune expérience en création d'entreprise","4","2","2","1","4","Entre une et deux heures","Non, c'est ma première participation à un MOOC","5","2. Oui, c’est un paramètre très important","La volonté d’acquérir de nouvelles compétences","Difficulté à trouver du temps,Difficultés à à utiliser la plateforme","Disponibles","je n’ai pas échangé avec les autres participants","Non, personne dans mon entourage ne s'est inscrit à ce MOOC","Regardé des vidéos ensemble","4","Moyen","De 30 minutes à 1 heure","Non\, j’ai compris ce qu’était le Laboratoire mais je n’y ai pas participé","Satisfaisante","4",NA,"H","H&M","Cadres et professions intellectuelles","Moins de deux heures"
19368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18385,NA,"1992","Algérie","Bac+3 (Licence ou équivalent)","Mathématiques\, informatique","Etudiants","par un ami ou une connaissance","Je n'ai aucune expérience en création d'entreprise","4","4","5","1","4","Entre deux et quatre heures","Non, c'est ma première participation à un MOOC","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M","H&M","Etudiants","Entre deux et quatre heures"
169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17597,"un homme","1985","Côte d'Ivoire","Bac+5 (Master ou équivalent)","Gestion d'entreprise","Cadres et professions intellectuelles","par un article ou un blog sur Internet","Je n'ai aucune expérience en création d'entreprise","1","4","4","1","4","Entre quatre et six heures","Oui, dont certains intégralement","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","B","Cadres et professions intellectuelles","Entre quatre et six heures"
18016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19537,"un homme","1980","France","Bac+5 (Master ou équivalent)","Mathématiques\, informatique","Cadres et professions intellectuelles","par un ami ou une connaissance","Je suis en train de créer mon entreprise (phase de démarrage)","1","5","2","2","4","Entre une et deux heures","Non, c'est ma première participation à un MOOC","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TH","TH","Cadres et professions intellectuelles","Moins de deux heures"
7189,"un homme","1970","France","Bac+8 (Doctorat ou équivalent)","Sciences humaines (histoire\, archéologie\, philosophie\, etc)","Cadres et professions intellectuelles","par une communication de Unow","Je n'ai aucune expérience en création d'entreprise","4","4","4","1","3","Entre deux et quatre heures","Oui, mais tous suivis partiellement","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TH","TH","Cadres et professions intellectuelles","Entre deux et quatre heures"
13182,"un homme","1977","Irak","Bac+8 (Doctorat ou équivalent)","Sciences médicales","Cadres et professions intellectuelles","par un article ou un blog sur Internet","Je suis en train de créer mon entreprise (phase de démarrage)","4","2","2","1","1","Entre deux et quatre heures","Non, c'est ma première participation à un MOOC","4","5. Non, ce n’était pas un critère important","La satisfaction personnelle d’être allé jusqu’au bout de la formation","Difficulté à trouver du temps","Disponibles","échanges sur les fils de discussion de la plateforme","Non, personne dans mon entourage ne s'est inscrit à ce MOOC","Regardé des vidéos ensemble","4","Facile","De 1 à 2 heures","Non\, j’ai compris ce qu’était le Laboratoire mais je n’y ai pas participé","Satisfaisante","5",NA,"H","H&M","Cadres et professions intellectuelles","Entre deux et quatre heures"
16133,"un homme","1989","France","Bac+5 (Master ou équivalent)","Droit","Etudiants","par une communication de l'EMLYON","J’ai un projet de création d’entreprise (phase de réflexion)","5","5","5","1","1","Entre une et deux heures","Non, c'est ma première participation à un MOOC","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TH","TH","Etudiants","Moins de deux heures"
16545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15948,"un homme","1991","France","Bac ou équivalent","Mathématiques\, informatique","Etudiants","par un article ou un blog sur Internet","J’ai un projet de création d’entreprise (phase de réflexion)","3","3","4","1","2","Moins d'une heure","Oui, mais tous suivis partiellement","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TH","TH","Etudiants","Moins de deux heures"
19440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11563,"un homme","1986","France","Bac+5 (Master ou équivalent)","Gestion d'entreprise","Cadres et professions intellectuelles","autre","J’ai un projet de création d’entreprise (phase de réflexion)","3","5","5","2","3","Entre une et deux heures","Non, c'est ma première participation à un MOOC","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TH","TH","Cadres et professions intellectuelles","Moins de deux heures"
14025,"un homme",NA,"France","Bac ou équivalent","Autre","Etudiants","par un ami ou une connaissance","J’ai un projet de création d’entreprise (phase de réflexion)","5","5","5","3","5","Entre quatre et six heures","Non, c'est ma première participation à un MOOC","5","4. Non, n’était pas le critère principal","La volonté d’acquérir de nouvelles compétences","Difficulté à trouver du temps","Très disponibles","échanges sur les documents de prises de notes partagées","Oui, des amis","Regardé des vidéos ensemble,S’encourager mutuellement à poursuivre le MOOC","5","Difficile","De 1 à 2 heures","Non\, j’ai compris ce qu’était le Laboratoire mais je n’y ai pas participé","Très satisfaisante","5",NA,"TH","TH","Etudiants","Entre quatre et six heures"
12318,"un homme","1958","Maroc","Bac+3 (Licence ou équivalent)","Autre","Cadres et professions intellectuelles","autre","Je n'ai aucune expérience en création d'entreprise","5","5","3","1","1","Entre deux et quatre heures","Non, c'est ma première participation à un MOOC","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H","H&M","Cadres et professions intellectuelles","Entre deux et quatre heures"
13655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17461,"un homme","1980",NA,"Bac+5 (Master ou équivalent)",NA,"Cadres et professions intellectuelles",NA,"J’ai un projet de création d’entreprise (phase de réflexion)","1","5","2",NA,NA,"Entre une et deux heures","Non, c'est ma première participation à un MOOC","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cadres et professions intellectuelles","Moins de deux heures"
18393,"un homme",NA,"Maroc","Bac+2 (Deug, IUT, BTS ou équivalent)","Gestion d'entreprise","Etudiants","par une communication de l'EMLYON",NA,"5","3","3","4","3","Entre une et deux heures","Non, c'est ma première participation à un MOOC","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H","H&M","Etudiants","Moins de deux heures"
6384,"un homme","1989","Algérie","Bac+3 (Licence ou équivalent)","Gestion d'entreprise","Employés","par un article ou un blog sur Internet","Je n'ai aucune expérience en création d'entreprise","1","5","5","1","3","Entre deux et quatre heures","Oui, mais tous suivis partiellement","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M","H&M","Employés","Entre deux et quatre heures"
18403,"un homme","1989","Maroc","Bac+2 (Deug, IUT, BTS ou équivalent)","Autre","Etudiants","par un ami ou une connaissance","Je n'ai aucune expérience en création d'entreprise,J’ai un projet de création d’entreprise (phase de réflexion)","5",NA,"5","1","2","Entre une et deux heures","Non, c'est ma première participation à un MOOC","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H","H&M","Etudiants","Moins de deux heures"
18012,"un homme","1972","France","Bac+2 (Deug, IUT, BTS ou équivalent)","Gestion d'entreprise","En recherche d'emploi","par un article ou un blog sur Internet","J’ai déjà créé plusieurs entreprises,J'accompagne des créateurs d'entreprises dans le cadre de mon travail","3","1","3","1","3","Moins d'une heure","Non, c'est ma première participation à un MOOC","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TH","TH","En recherche d'emploi","Moins de deux heures"
16977,"un homme","1967","Algérie","Bac+2 (Deug, IUT, BTS ou équivalent)","Ingénierie et technologies","Artisans, commerçants, chefs d'entreprise","par un article ou un blog sur Internet","J’ai lancé ma première société il y a plus d'un an","5","4","1","1","3","Entre une et deux heures","Non, c'est ma première participation à un MOOC","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M","H&M","Artisans, commerçants, chefs d'entreprise","Moins de deux heures"
10923,"une femme","1964","Algérie","Bac+5 (Master ou équivalent)","Gestion d'entreprise","Cadres et professions intellectuelles","par un article ou un blog sur Internet","J'accompagne des créateurs d'entreprises dans le cadre de mon travail","1","4","5","3","2","Entre quatre et six heures","Oui, dont certains intégralement","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M","H&M","Cadres et professions intellectuelles","Entre quatre et six heures"
19596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17023,"un homme","1980","France","Bac+2 (Deug, IUT, BTS ou équivalent)","Ingénierie et technologies","Professions intermédiaires","par un réseau social","Je n'ai aucune expérience en création d'entreprise","3","4","2","1","2","Entre une et deux heures","Non, c'est ma première participation à un MOOC","4","2. Oui, c’est un paramètre très important","La satisfaction personnelle d’être allé jusqu’au bout de la formation","Aucune difficulté rencontrée","Disponibles","échanges sur les fils de discussion de la plateforme","Oui, autre cas de figure (voisins..)","Des personnes de mon entourage ont suivi le MOOC\, mais nous n’avons pas interagi","4","Moyen","De 1 à 2 heures","Non\, j’ai compris ce qu’était le Laboratoire mais je n’y ai pas participé","Satisfaisante","4",NA,"TH","TH","Autre","Moins de deux heures"
19367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
881,"un homme","1959","Maroc","Bac+5 (Master ou équivalent)","Gestion d'entreprise","Cadres et professions intellectuelles","par une communication de Unow","J’ai lancé ma première société il y a plus d'un an","1","2","2","4","4","Plus de six heures","Oui, dont certains intégralement","5","4. Non, n’était pas le critère principal","Le plaisir d’apprendre","Difficulté à trouver du temps","Disponibles","je n’ai pas échangé avec les autres participants","Non, personne dans mon entourage ne s'est inscrit à ce MOOC",NA,"5","Très facile","De 1 à 2 heures","Non\, j’ai compris ce qu’était le Laboratoire mais je n’y ai pas participé","Satisfaisante","4",NA,"H","H&M","Cadres et professions intellectuelles","Plus de six heures"
13370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12688,"un homme","1987","Cameroun","Bac+5 (Master ou équivalent)","Gestion d'entreprise","Cadres et professions intellectuelles","par un article ou un blog sur Internet","Je n'ai aucune expérience en création d'entreprise,J’ai un projet de création d’entreprise (phase de réflexion)","2","3","3","1","3","Entre une et deux heures","Non, c'est ma première participation à un MOOC","5","5. Non, ce n’était pas un critère important","La qualité du MOOC en général (supports de cours, échanges,...)","Aucune difficulté rencontrée","Disponibles","échanges sur les fils de discussion de la plateforme","Non, personne dans mon entourage ne s'est inscrit à ce MOOC","S’encourager mutuellement à poursuivre le MOOC","5","Moyen","De 1 à 2 heures","Oui\, je suis allé lire des projets et j’ai laissé des commentaires","Très satisfaisante","2",NA,"B","B","Cadres et professions intellectuelles","Moins de deux heures"
18993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6494,"un homme","1971","Niger","Bac+2 (Deug, IUT, BTS ou équivalent)","Gestion d'entreprise","Cadres et professions intellectuelles","par un réseau social","Je n'ai aucune expérience en création d'entreprise","4","5","5","4","3","Entre deux et quatre heures","Oui, mais tous suivis partiellement","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","B","Cadres et professions intellectuelles","Entre deux et quatre heures"
18515,"un homme",NA,"Côte d'Ivoire",NA,"Gestion d'entreprise","Employés","par un ami ou une connaissance","J’ai un projet de création d’entreprise (phase de réflexion),J'accompagne des créateurs d'entreprises dans le cadre de mon travail","5","5","5","5","5","Entre deux et quatre heures","Non, c'est ma première participation à un MOOC","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","B","Employés","Entre deux et quatre heures"
2823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18575,"un homme","1986","France","Pré-bac","Autre","Employés","par un article ou un blog sur Internet","Je n'ai aucune expérience en création d'entreprise,J’ai un projet de création d’entreprise (phase de réflexion)","5","5","1","1","2","Entre une et deux heures","Non, c'est ma première participation à un MOOC","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TH","TH","Employés","Moins de deux heures"
10147,"un homme","1980","Burkina Faso","Bac+5 (Master ou équivalent)","Sciences sociales (économie\, sciences politiques\, sociologie\, etc)","Employés","par une communication de Unow","J’ai lancé ma première société il y a plus d'un an","2","5","5","2",NA,"Entre deux et quatre heures","Oui, mais tous suivis partiellement","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","B","Employés","Entre deux et quatre heures"
708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13113,"un homme","1962","France","Bac+5 (Master ou équivalent)","Gestion d'entreprise","En recherche d'emploi","par un article ou un blog sur Internet","J’ai un projet de création d’entreprise (phase de réflexion)","5","3","3","1","4","Entre quatre et six heures","Non, c'est ma première participation à un MOOC","4","2. Oui, c’est un paramètre très important","La volonté d’acquérir de nouvelles compétences","Difficulté à trouver du temps","Disponibles","je n’ai pas échangé avec les autres participants","Non, personne dans mon entourage ne s'est inscrit à ce MOOC",NA,"5","Moyen","Moins de 30 minutes","Non\, j’ai compris ce qu’était le Laboratoire mais je n’y ai pas participé","Très satisfaisante","Je n'ai pas participé à l'activité mi-MOOC",NA,"TH","TH","En recherche d'emploi","Entre quatre et six heures"
